"Name","Formula","MW","cp_a","cp_b","cp_c","cp_d","Tmin","Tmax","sref"
"Nitrogen","N2",28.013,+28.900,-1.571E-03,+8.081E-06,-2.873E-09,273.0,1800.0,191.61
"Oxygen","O2",31.999,+25.480,+1.520E-02,-7.155E-06,+1.312E-09,273.0,1800.0,205.04
"Hydrogen","H2",2.016,+29.110,-1.916E-03,+4.003E-06,-8.704E-10,273.0,1800.0,130.68
"Carbon Monoxide","CO",28.011,+28.160,+1.675E-03,+5.372E-06,-2.222E-09,273.0,1800.0,197.65
"Carbon Dioxide","CO2",44.010,+22.260,+5.981E-02,-3.501E-05,+7.469E-09,273.0,1800.0,213.80
"Water Vapor","H2O",18.015,+32.240,+1.923E-03,+1.055E-05,-3.595E-09,273.0,1800.0,188.83
"Methane","CH4",16.043,+19.890,+5.024E-02,+1.269E-05,-1.101E-08,273.0,1500.0,186.16
"Ethane","C2H6",30.070,+6.900,+1.727E-01,-6.406E-05,+7.285E-09,273.0,1500.0,229.49
"Propane","C3H8",44.097,-4.040,+3.048E-01,-1.572E-04,+3.174E-08,273.0,1500.0,269.91
"N-Butane","C4H10",58.124,+3.960,+3.715E-01,-1.834E-04,+3.500E-08,273.0,1500.0,310.12
"Methanol","CH4O",32.042,+19.000,+9.152E-02,-1.220E-05,-8.039E-09,273.0,1000.0,239.70
"Ethanol","C2H6O",46.070,+19.900,+2.096E-01,-1.038E-04,+2.005E-08,273.0,1500.0,282.59
"Carbon Dioxide modified","CO2m",44.0098,+23.965,+5.4685E-02,-3.0227E-05,+6.0233E-09,273.0,1800.0,213.80